text,label
"Another one bites the dust, and another's gone.",0
"We will, we yeah rock you, pounding our feet on the ground.",0
"I'm on the highway to hell, and I'm you know down.",0
"Sweet child o' mine, umm got eyes of the bluest skies.",0
"oh keep dancing on my own, but now you're gone.",1
"Sweet child o' mine, she's baby eyes of the bluest skies.",0
"You're beautiful, it's true, I can't take baby eyes off you.",1
"Another one bites the dust, and another's gone.",0
"I'm on the highway to hell, and I'm going you know",0
"Smells like teen spirit, a denial, a denial.",0
"Just like a dream, the best thing in umm life.",1
"Smells like teen spirit, a denial, a denial.",0
"I'm a firework, come on let your colors burst.",1
"Baby, you're a song, you make me wanna roll my windows uhh",1
"We will, we will rock you, pounding uhh feet on the ground.",0
"I just want to feel this moment, feel the light and uhh",1
"Baby, you're umm song, you make me wanna roll my windows down.",1
"I just want to feel this moment, feel the umm and love.",1
"It's my life, baby now or never, I ain't gonna live forever.",0
"We found you know in a hopeless place, bright and beautiful.",1
"I just want to feel this moment, feel the light and baby",1
"I'm on the oh to hell, and I'm going down.",0
"I'm on oh of the world, waiting for you to call.",1
"We found love in a hopeless place, baby and beautiful.",1
"We you know love in a hopeless place, bright and beautiful.",1
"Sweet child baby mine, she's got eyes of the bluest skies.",0
"Sweet child o' mine, she's got eyes of umm bluest skies.",0
"Don't stop believin', hold on to that feeling.",0
"I oh get no satisfaction, but I try, and I try.",0
"I just want to feel this moment, feel uhh light and love.",1
"Knockin' on heaven's door, can't take this anymore.",0
"Smells like teen spirit, a denial, a denial.",0
"Knockin' on heaven's door, can't take this anymore.",0
"Smells like teen spirit, a denial, a denial.",0
"I'm umm the highway to hell, and I'm going down.",0
"Just like a dream, the best thing you know my life.",1
"I keep dancing on yeah own, but now you're gone.",1
"Welcome to the jungle, we got fun and games.",0
"Another one bites the dust, and another's gone.",0
"Just like a dream, the best thing baby my life.",1
"We found love in a hopeless place, bright and yeah",1
"It's my life, umm now or never, I ain't gonna live forever.",0
"I'm on the highway to hell, and I'm umm down.",0
"Sweet child o' mine, she's got eyes of the baby skies.",0
"Just like a dream, the best thing umm my life.",1
"Baby, you're a song, you make me yeah roll my windows down.",1
"Sweet oh o' mine, she's got eyes of the bluest skies.",0
"I keep dancing on my own, but now you know gone.",1
"We don't talk anymore, like we used to do.",1
"Another one bites the dust, and another's gone.",0
"I'm on top of the world, waiting for you to yeah",1
"I can't get no satisfaction, but uhh try, and I try.",0
"Welcome to the jungle, we got fun and games.",0
"Don't stop believin', hold on to that feeling.",0
"umm beautiful, it's true, I can't take my eyes off you.",1
"Don't stop believin', hold on to that feeling.",0
"I can't get no satisfaction, umm I try, and I try.",0
"baby will, we will rock you, pounding our feet on the ground.",0
"Sweet child o' mine, she's got eyes of the umm skies.",0
"Baby, you're a uhh you make me wanna roll my windows down.",1
"Sweet child o' mine, she's got eyes of the bluest uhh",0
"I'm a firework, come on let your colors burst.",1
"Smells like teen spirit, a denial, a denial.",0
"yeah will, we will rock you, pounding our feet on the ground.",0
"We will, we will rock you, pounding our feet on baby ground.",0
"Baby, you're a song, you make me wanna roll my windows yeah",1
"Baby, you're a song, you uhh me wanna roll my windows down.",1
"We will, we will rock you, pounding our baby on the ground.",0
"You're umm one that I want, can't get you out of my head.",1
"uhh can't get no satisfaction, but I try, and I try.",0
"I'm on top of the world, uhh for you to call.",1
"Knockin' on heaven's door, can't take this anymore.",0
I just want to feel this uhh feel the light and love.,1
"It's my life, it's now or never, I ain't gonna you know forever.",0
"Don't stop believin', hold on to that feeling.",0
"Another one bites the dust, and another's gone.",0
"I'm a firework, come on let your colors burst.",1
"You're beautiful, it's true, I uhh take my eyes off you.",1
"Just like uhh dream, the best thing in my life.",1
"It's my life, uhh now or never, I ain't gonna live forever.",0
"Baby, you're a song, you baby me wanna roll my windows down.",1
"I can't get yeah satisfaction, but I try, and I try.",0
"I'm on the highway to hell, and oh going down.",0
"I can't get no baby but I try, and I try.",0
"I'm on the highway umm hell, and I'm going down.",0
"I can't get no satisfaction, but I oh and I try.",0
"I just want to oh this moment, feel the light and love.",1
"Welcome to the jungle, we got fun and games.",0
"Baby, you're a song, you make me wanna uhh my windows down.",1
"We don't talk anymore, like we used to do.",1
"I'm on the highway to hell, and I'm yeah down.",0
"Welcome to the jungle, we got fun and games.",0
"Knockin' on heaven's door, can't take this anymore.",0
"Welcome to the jungle, we got fun and games.",0
"Don't stop believin', hold on to that feeling.",0
"We will, we will rock you, yeah our feet on the ground.",0
"You're the one that I want, can't get you out of my you know",1
You're the one that I baby can't get you out of my head.,1
"I keep you know on my own, but now you're gone.",1
"I can't get no satisfaction, but I try, and you know try.",0
"Smells like teen spirit, a denial, a denial.",0
"I'm a firework, come on let your colors burst.",1
"Baby, you're a song, you make me wanna roll my yeah down.",1
"uhh beautiful, it's true, I can't take my eyes off you.",1
"I'm a firework, come on let your colors burst.",1
"I'm a firework, come on let your colors burst.",1
"We will, we will rock you, pounding our feet on oh ground.",0
"I'm a firework, come on let your colors burst.",1
"Welcome to the jungle, we got fun and games.",0
"I keep dancing on my own, but oh you're gone.",1
"umm my life, it's now or never, I ain't gonna live forever.",0
"Welcome to the jungle, we got fun and games.",0
"Knockin' on heaven's door, can't take this anymore.",0
"I'm on the highway to hell, oh I'm going down.",0
"We don't talk anymore, like we used to do.",1
"umm will, we will rock you, pounding our feet on the ground.",0
"We don't talk anymore, like we used to do.",1
Just like a umm the best thing in my life.,1
"you know the one that I want, can't get you out of my head.",1
"We don't talk anymore, like we used to do.",1
"I just want to feel this moment, feel umm light and love.",1
"I just want to feel this moment, feel the light oh love.",1
"I'm you know top of the world, waiting for you to call.",1
"I'm on you know highway to hell, and I'm going down.",0
"I'm a firework, come on let your colors burst.",1
"We will, we will rock you, pounding our feet on the umm",0
"I'm a firework, come on let your colors burst.",1
"I'm a firework, come on let your colors burst.",1
"oh the one that I want, can't get you out of my head.",1
"I'm a firework, come on let your colors burst.",1
"I'm a firework, come on let your colors burst.",1
"Smells like teen spirit, a denial, a denial.",0
"Welcome to the jungle, we got fun and games.",0
"Baby, you're a song, you make me wanna roll my windows baby",1
"I keep dancing on my own, but now you're you know",1
"Welcome to the jungle, we got fun and games.",0
"Another one bites the dust, and another's gone.",0
"I keep dancing on my own, uhh now you're gone.",1
"You're the one uhh I want, can't get you out of my head.",1
"Knockin' on heaven's door, can't take this anymore.",0
"Another one bites the dust, and another's gone.",0
"It's my life, it's now or never, I ain't gonna live uhh",0
"I'm on the highway to hell, baby I'm going down.",0
"Smells like teen spirit, a denial, a denial.",0
"Sweet child o' mine, she's got eyes of the yeah skies.",0
"I keep dancing on my own, but now you're uhh",1
"Don't stop believin', hold on to that feeling.",0
"I'm a firework, come on let your colors burst.",1
"I'm on top of the world, waiting for baby to call.",1
"You're beautiful, it's umm I can't take my eyes off you.",1
"You're the one that I want, can't get you out baby my head.",1
"I yeah dancing on my own, but now you're gone.",1
"Welcome to the jungle, we got fun and games.",0
"I keep dancing oh my own, but now you're gone.",1
"We will, we will rock you, pounding our feet on yeah ground.",0
"We will, oh will rock you, pounding our feet on the ground.",0
